sex,rep,line,f1,f2,f3,f4,f5
2,1,219,45,22,21,5,17
2,1,220,0,13,20,27,20
2,1,221,22,22,14,13,23
2,1,222,16,45,17,27,19
2,1,223,9,13,30,23,28
2,1,224,31,27,1,19,24
2,1,225,22,12,30,32,20
2,1,226,33,22,37,36,14
2,1,227,1,8,30,29,40
2,1,228,29,13,11,21,20
2,1,229,42,28,39,19,20
2,1,230,8,9,10,30,9
2,2,1,37,23,34,NA,44
2,2,2,41,26,26,63,27
2,2,3,18,16,16,0,13
2,2,4,63,47,28,38,45
2,2,5,17,21,27,17,48
2,2,6,43,34,25,17,29
2,2,7,17,20,25,25,23
2,2,8,37,19,22,45,27
2,2,9,25,19,27,15,16
2,2,10,29,37,60,31,30
2,2,11,54,22,22,24,11
2,2,13,11,19,37,22,31
2,2,14,40,16,39,40,33
2,2,15,25,24,23,20,17
2,2,16,9,21,15,27,43
2,2,17,19,27,33,36,19
2,2,18,21,25,28,23,14
2,2,19,15,34,20,30,23
2,2,20,17,35,34,13,NA
2,2,21,30,24,37,27,27
2,2,22,37,21,56,44,41
2,2,23,41,27,29,44,45
2,2,24,19,35,27,13,20
2,2,25,16,21,43,29,28
2,2,26,37,42,30,17,25
2,2,27,26,25,47,38,16
2,2,28,19,19,25,21,18
2,2,29,18,16,28,19,34
2,2,30,50,49,51,54,44
2,2,31,15,37,48,23,44
2,2,32,29,23,26,18,46
2,2,33,30,45,67,47,64
2,2,34,66,18,46,47,36
2,2,35,43,28,26,39,0
2,2,36,34,23,63,42,42
2,2,37,36,42,52,32,40
2,2,38,47,33,24,18,22
2,2,39,45,25,41,49,52
2,2,40,10,36,30,41,38
2,2,41,30,47,23,69,70
2,2,43,24,16,18,25,16
2,2,44,31,30,31,38,17
2,2,45,10,23,26,16,23
2,2,46,21,20,29,25,8
2,2,47,21,30,17,22,15
2,2,48,49,57,63,33,62
2,2,49,22,15,43,19,45
2,2,50,24,41,66,16,35
2,2,51,34,48,24,24,33
2,2,52,14,19,20,22,24
2,2,53,22,14,20,24,14
2,2,54,17,41,36,38,23
2,2,55,55,42,59,31,51
2,2,56,50,34,36,44,20
2,2,57,32,8,60,25,30
2,2,58,43,22,40,58,33
2,2,59,37,53,24,18,25
2,2,60,21,17,17,13,28
2,2,61,19,28,24,24,23
2,2,62,22,34,18,29,58
2,2,63,26,27,43,20,22
2,2,64,23,13,NA,22,32
2,2,65,25,16,23,25,19
2,2,66,20,15,18,22,19
2,2,67,23,13,21,41,40
2,2,68,19,17,23,21,15
2,2,69,28,23,31,29,20
2,2,70,36,47,23,40,30
2,2,71,34,19,30,21,29
2,2,72,19,11,24,18,18
2,2,73,49,38,46,18,53
2,2,74,28,30,20,47,22
2,2,75,42,56,23,51,17
2,2,76,21,31,31,26,42
2,2,78,25,26,27,22,NA
2,2,79,59,52,53,23,41
2,2,80,22,35,24,36,58
2,2,81,42,29,35,31,17
2,2,82,28,46,36,47,22
2,2,83,39,40,36,42,37
2,2,84,36,37,37,45,37
2,2,86,27,58,38,40,50
2,2,87,35,47,53,46,35
2,2,88,21,36,61,20,17
2,2,89,36,53,39,NA,NA
2,2,90,38,16,54,50,14
2,2,91,60,52,63,64,64
2,2,92,21,25,24,24,46
2,2,93,20,37,17,25,31
2,2,94,54,38,56,56,49
2,2,96,45,58,39,46,20
2,2,97,33,26,18,25,23
2,2,98,57,53,73,23,58
2,2,99,51,50,53,1,NA
2,2,100,40,14,41,27,17
2,2,101,27,55,63,51,27
2,2,102,41,24,55,40,46
2,2,103,27,20,49,24,24
2,2,104,23,26,66,33,27
2,2,105,19,47,31,41,23
2,2,106,33,21,35,41,11
2,2,107,27,38,31,40,34
2,2,108,55,41,35,22,30
2,2,109,21,31,35,21,49
2,2,110,27,27,28,36,50
2,2,111,44,29,22,36,1
2,2,112,32,14,1,44,37
2,2,113,36,47,22,25,55
2,2,114,13,40,27,38,28
2,2,115,28,19,24,27,29
2,2,116,52,28,20,41,37
2,2,117,44,37,56,47,70
2,2,118,49,42,33,27,57
2,2,119,40,27,27,0,NA
2,2,120,44,59,32,33,NA
2,2,121,53,24,28,23,27
2,2,122,31,50,21,17,21
2,2,123,14,42,43,50,36
2,2,124,36,35,47,63,22
2,2,125,20,59,31,43,40
2,2,126,19,31,21,23,20
2,2,127,26,28,16,33,32
2,2,128,28,25,13,20,18
2,2,129,34,11,56,27,52
2,2,130,64,56,28,11,24
2,2,131,27,34,44,17,17
2,2,132,31,21,34,41,23
2,2,133,32,40,45,41,46
2,2,134,21,25,16,15,0
2,2,136,18,56,39,47,29
2,2,137,19,18,17,10,25
2,2,138,30,39,52,20,22
2,2,139,57,46,50,23,49
2,2,140,36,53,19,36,18
2,2,141,24,51,24,27,66
2,2,142,16,54,41,44,NA
2,2,143,24,33,31,55,51
2,2,144,37,43,39,27,46
2,2,145,38,44,37,29,22
2,2,146,52,52,26,25,43
2,2,147,18,25,58,39,23
2,2,148,30,44,55,38,45
2,2,149,41,39,47,53,33
2,2,150,21,24,22,19,25
2,2,151,37,46,23,56,57
2,2,152,18,30,13,19,16
2,2,153,31,48,60,26,33
2,2,154,38,20,19,36,41
2,2,156,17,33,57,30,29
2,2,157,39,41,45,37,20
2,2,158,17,0,13,56,23
2,2,159,23,24,19,26,20
2,2,160,56,50,18,49,25
2,2,161,42,47,56,15,52
2,2,162,19,25,38,22,31
2,2,163,22,41,20,17,8
2,2,164,43,38,64,20,61
2,2,165,32,39,19,26,40
2,2,166,8,18,41,56,55
2,2,167,41,20,51,45,47
2,2,168,22,18,14,17,NA
2,2,169,48,44,28,66,47
2,2,170,39,15,16,15,12
2,2,171,66,51,59,41,49
2,2,172,55,34,56,33,51
2,2,173,36,39,29,38,44
2,2,174,59,59,54,48,47
2,2,175,41,47,31,37,26
2,2,176,26,27,28,28,40
2,2,177,18,47,25,26,48
2,2,178,50,28,48,42,42
2,2,179,32,26,20,39,59
2,2,180,19,26,25,41,11
2,2,181,48,68,37,71,51
2,2,182,15,6,57,20,30
2,2,183,25,34,55,19,57
2,2,184,49,29,65,45,71
2,2,185,24,29,26,44,39
2,2,186,52,64,54,23,49
2,2,187,17,34,21,18,39
2,2,188,20,37,38,48,27
2,2,189,68,49,64,64,45
2,2,190,49,49,20,35,45
2,2,191,28,25,27,19,24
2,2,192,29,27,33,44,28
2,2,193,22,27,20,36,42
2,2,194,30,35,53,39,16
2,2,195,28,47,42,20,36
2,2,196,31,68,34,13,57
2,2,197,20,19,21,26,44
2,2,198,23,43,24,52,43
2,2,199,26,28,35,35,44
2,2,200,47,57,35,58,42
2,2,201,25,20,17,39,27
2,2,202,23,21,21,26,43
2,2,203,21,31,49,24,1
2,2,204,51,48,35,23,54
2,2,205,26,36,27,33,16
2,2,206,33,19,7,24,36
2,2,207,22,20,25,47,33
2,2,208,45,3,27,19,40
2,2,209,26,25,26,31,42
2,2,210,18,28,39,37,22
2,2,211,46,47,23,44,29
2,2,212,38,24,36,43,24
2,2,213,56,53,64,49,50
2,2,214,50,53,58,63,64
2,2,215,42,33,25,33,41
2,2,216,30,57,28,19,33
2,2,217,44,28,38,27,37
2,2,218,64,31,39,45,47
2,2,219,15,48,32,47,19
2,2,220,40,38,68,64,24
2,2,221,22,21,21,40,37
2,2,222,20,26,29,34,35
2,2,223,13,21,29,21,34
2,2,224,27,11,37,31,13
2,2,225,40,37,60,25,50
2,2,226,74,58,1,25,66
2,2,227,23,27,38,28,26
2,2,228,20,44,57,26,55
2,2,229,45,44,56,43,54
2,2,230,18,28,27,18,17
2,3,1,14,11,18,25,2
2,3,2,34,20,26,27,39
2,3,3,21,28,23,29,25
2,3,4,35,25,34,28,33
2,3,5,17,21,21,17,NA
2,3,6,26,36,35,61,23
2,3,7,53,42,48,62,29
2,3,8,20,37,20,20,16
2,3,9,17,23,23,43,39
2,3,10,4,25,36,57,28
2,3,11,1,21,24,12,24
2,3,13,21,34,16,18,22
2,3,14,21,29,30,29,34
2,3,15,30,25,34,19,23
2,3,16,32,23,28,22,54
2,3,17,30,27,24,23,43
2,3,18,48,43,51,49,49
2,3,19,14,35,25,40,27
2,3,20,40,45,39,39,48
2,3,21,54,26,27,55,49
2,3,22,28,24,22,25,35
2,3,23,49,18,28,25,27
2,3,24,33,22,16,19,39
2,3,25,21,30,40,25,30
2,3,26,29,42,37,33,43
2,3,27,28,20,31,19,35
2,3,28,20,47,15,42,38
2,3,29,31,18,33,28,25
2,3,30,30,45,46,31,39
2,3,31,36,35,44,49,42
2,3,32,21,23,21,29,29
2,3,33,48,22,35,48,46
2,3,34,52,41,21,23,53
2,3,35,62,40,35,32,34
2,3,36,53,44,28,43,53
2,3,37,43,34,19,34,39
2,3,38,35,47,36,20,NA
2,3,39,28,21,37,29,34
2,3,40,44,35,38,32,18
2,3,41,19,42,0,40,47
2,3,43,33,25,29,25,22
2,3,44,43,39,55,44,36
2,3,45,32,37,26,37,34
2,3,46,17,35,32,42,31
2,3,47,63,57,50,50,62
2,3,48,50,45,41,62,87
2,3,49,47,37,29,27,22
2,3,50,47,52,60,37,52
2,3,51,51,31,37,24,38
2,3,52,2,46,24,56,33
2,3,53,13,30,29,15,43
2,3,54,16,33,45,41,35
2,3,55,51,48,46,40,38
2,3,56,39,37,49,46,45
2,3,57,43,18,26,46,17
2,3,58,45,58,38,45,58
2,3,59,30,44,29,9,26
2,3,60,41,18,35,33,27
2,3,61,33,74,54,37,38
2,3,62,48,28,44,48,50
2,3,63,37,32,46,33,37
2,3,64,48,28,0,52,47
2,3,65,41,25,19,27,20
2,3,66,15,25,23,34,13
2,3,67,41,49,41,23,39
2,3,68,58,71,25,39,56
2,3,69,30,36,29,40,35
2,3,70,1,41,32,42,15
2,3,71,29,33,15,20,15
2,3,72,15,19,16,19,18
2,3,73,19,20,35,31,20
2,3,74,6,34,17,8,19
2,3,75,15,12,15,18,NA
2,3,76,42,36,34,21,29
2,3,78,16,9,20,36,25
2,3,79,21,38,63,41,30
2,3,80,29,29,16,25,25
2,3,81,28,28,1,31,29
2,3,82,21,26,45,47,25
2,3,83,31,39,19,24,24
2,3,84,34,22,36,35,38
2,3,86,17,17,23,19,21
2,3,87,20,46,21,26,23
2,3,88,23,54,23,22,39
2,3,89,23,34,44,34,29
2,3,90,5,17,45,25,20
2,3,91,59,49,60,38,49
2,3,92,1,41,24,60,21
2,3,93,24,25,36,21,29
2,3,94,38,30,37,34,37
2,3,96,23,25,22,29,24
2,3,97,0,27,17,21,26
2,3,98,15,16,12,28,31
2,3,99,35,15,17,39,30
2,3,100,25,31,26,26,26
2,3,101,21,38,25,21,29
2,3,102,22,29,20,19,21
2,3,103,17,28,19,26,33
2,3,104,19,26,31,28,24
2,3,105,44,18,34,36,12
2,3,106,16,39,22,12,40
2,3,107,39,36,22,23,48
2,3,108,17,18,25,34,27
2,3,109,36,41,37,37,40
2,3,110,28,19,23,33,18
2,3,111,29,24,14,6,13
2,3,112,46,37,50,36,39
2,3,113,34,37,46,39,39
2,3,114,51,17,33,36,46
2,3,115,23,25,26,22,31
2,3,116,23,10,19,23,19
2,3,117,15,25,21,20,47
2,3,118,24,27,17,24,33
2,3,119,25,27,41,27,27
2,3,120,22,23,42,39,8
2,3,121,44,54,56,47,49
2,3,122,17,12,29,34,21
2,3,123,47,53,55,45,45
2,3,124,19,23,22,19,17
2,3,125,21,26,52,20,11
2,3,126,22,25,44,39,32
2,3,127,46,44,29,54,43
2,3,128,40,32,24,27,31
2,3,129,40,37,27,46,37
2,3,130,46,43,31,41,40
2,3,131,38,29,17,16,NA
2,3,132,29,25,23,31,24
2,3,133,46,41,37,30,18
2,3,134,33,40,27,20,20
2,3,136,25,20,18,47,32
2,3,137,19,21,36,40,51
2,3,138,47,50,43,42,47
2,3,139,22,36,26,44,43
2,3,140,59,53,30,32,54
2,3,141,27,34,41,36,48
2,3,142,33,23,23,49,42
2,3,143,57,41,41,40,46
2,3,144,46,33,32,30,40
2,3,145,53,36,51,50,58
2,3,146,53,40,43,47,46
2,3,147,35,44,19,46,50
2,3,148,0,27,26,25,24
2,3,149,39,58,44,33,44
2,3,150,26,32,23,48,NA
2,3,151,47,45,43,31,32
2,3,152,29,34,29,29,23
2,3,153,22,46,52,52,52
2,3,154,30,31,43,28,27
2,3,156,28,30,41,50,31
2,3,157,40,20,27,16,36
2,3,158,38,23,22,22,27
2,3,159,52,41,30,53,43
2,3,160,35,37,37,46,48
2,3,161,25,38,31,36,47
2,3,162,40,25,57,54,30
2,3,163,30,11,14,19,23
2,3,164,46,18,34,46,34
