sex,rep,line,f1,f2,f3,f4,f5
2,4,203,38,33,34,49,22
2,4,204,40,45,45,44,15
2,4,205,27,16,22,40,23
2,4,206,30,43,25,21,24
2,4,207,39,41,45,43,49
2,4,208,38,53,40,46,37
2,4,209,21,29,27,27,32
2,4,210,35,NA,NA,NA,NA
2,4,211,46,38,26,37,45
2,4,212,3,20,28,18,31
2,4,213,37,29,24,50,37
2,4,214,53,48,31,59,36
2,4,215,25,44,48,35,76
2,4,216,58,43,44,38,40
2,4,217,43,0,53,52,53
2,4,218,34,38,21,41,27
2,4,219,24,28,32,17,42
2,4,220,29,45,39,22,23
2,4,221,37,29,24,19,31
2,4,222,55,44,39,40,47
2,4,223,20,16,21,36,52
2,4,224,58,37,44,43,31
2,4,225,34,32,32,33,33
2,4,226,41,36,27,23,25
2,4,227,23,40,21,51,37
2,4,228,25,11,68,55,33
2,4,229,35,46,60,43,34
2,4,230,28,0,31,32,24
2,5,1,35,24,25,24,28
2,5,2,26,28,20,43,15
2,5,3,28,25,21,27,19
2,5,4,18,20,19,26,41
2,5,5,25,25,39,33,18
2,5,6,34,21,36,32,21
2,5,7,25,36,1,26,35
2,5,8,22,35,15,18,26
2,5,9,36,23,38,18,32
2,5,10,21,24,25,11,23
2,5,11,14,16,19,17,14
2,5,13,6,12,9,17,14
2,5,14,0,27,22,23,19
2,5,15,34,21,24,26,34
2,5,16,19,28,41,21,46
2,5,17,32,24,19,15,23
2,5,18,23,18,18,24,31
2,5,19,26,25,26,16,45
2,5,20,46,47,43,21,43
2,5,21,18,49,33,30,31
2,5,22,25,25,10,0,26
2,5,23,1,19,1,16,1
2,5,24,42,26,15,12,42
2,5,25,19,39,52,27,25
2,5,26,16,50,27,20,20
2,5,27,47,4,60,33,45
2,5,28,15,1,31,35,NA
2,5,29,11,17,15,16,18
2,5,30,37,26,18,16,26
2,5,31,36,42,43,43,NA
2,5,32,54,1,24,34,46
2,5,33,27,43,20,43,27
2,5,34,44,33,42,20,46
2,5,35,29,32,25,25,20
2,5,36,45,47,35,58,36
2,5,37,27,35,28,41,45
2,5,38,24,18,18,29,NA
2,5,39,34,43,40,18,43
2,5,40,11,34,12,27,17
2,5,41,39,36,33,23,19
2,5,43,62,29,32,NA,NA
2,5,44,22,37,29,17,45
2,5,45,31,14,27,18,26
2,5,46,38,22,17,21,18
2,5,47,45,28,26,29,39
2,5,48,0,NA,NA,NA,NA
2,5,49,15,56,48,24,22
2,5,50,37,37,37,20,NA
2,5,51,26,28,28,48,35
2,5,52,20,22,21,21,30
2,5,53,34,50,44,30,42
2,5,54,33,35,45,41,NA
2,5,55,53,44,50,43,56
2,5,56,35,25,20,15,15
2,5,57,38,45,46,40,36
2,5,58,33,38,37,22,19
2,5,59,30,33,44,20,34
2,5,60,19,36,37,37,18
2,5,61,23,16,29,21,26
2,5,62,21,28,19,36,31
2,5,63,25,23,25,18,18
2,5,64,39,40,43,47,1
2,5,65,44,28,29,32,26
2,5,66,15,17,27,10,14
2,5,67,40,28,38,16,14
2,5,68,52,48,13,19,22
2,5,69,25,24,21,26,24
2,5,70,18,20,31,19,19
2,5,71,21,28,18,41,29
2,5,72,42,27,31,44,49
2,5,73,23,43,20,45,10
2,5,74,9,10,29,1,8
2,5,75,16,18,29,19,18
2,5,76,29,37,38,29,44
2,5,78,50,49,50,24,43
2,5,79,31,48,32,42,43
2,5,80,20,1,17,27,37
2,5,81,20,20,22,23,26
2,5,82,40,46,57,53,28
2,5,83,35,20,30,34,22
2,5,84,45,14,51,48,22
2,5,86,30,19,21,22,53
2,5,87,24,34,38,20,28
2,5,88,36,43,19,22,12
2,5,89,24,33,34,33,21
2,5,90,34,21,15,34,27
2,5,91,50,49,45,48,42
2,5,92,17,31,19,17,16
2,5,93,28,27,37,42,21
2,5,94,54,38,63,44,27
2,5,96,45,25,38,37,44
2,5,97,16,13,35,21,21
2,5,98,49,37,35,36,36
2,5,99,32,36,13,19,20
2,5,100,41,45,39,47,41
2,5,101,25,43,27,34,38
2,5,102,38,31,43,36,45
2,5,103,34,35,17,17,22
2,5,104,20,17,14,17,19
2,5,105,16,40,49,52,17
2,5,106,40,24,24,36,30
2,5,107,19,18,23,59,42
2,5,108,19,26,24,21,28
2,5,109,30,41,2,19,38
2,5,110,31,3,28,48,26
2,5,111,27,28,15,43,23
2,5,112,56,46,58,45,47
2,5,113,1,19,34,34,39
2,5,114,28,0,16,32,31
2,5,115,45,27,22,48,23
2,5,116,14,27,27,12,18
2,5,117,20,38,18,39,NA
2,5,118,33,36,27,40,34
2,5,119,19,26,40,34,39
2,5,120,36,36,20,15,32
2,5,121,23,38,38,42,40
2,5,122,29,23,41,21,28
2,5,123,45,24,33,22,38
2,5,124,21,14,32,35,30
2,5,125,31,26,17,31,34
2,5,126,29,25,29,30,32
2,5,127,45,36,24,47,25
2,5,128,16,17,29,26,42
2,5,129,45,15,55,34,17
2,5,130,40,40,39,39,12
2,5,131,50,30,31,37,37
2,5,132,22,41,9,20,21
2,5,133,31,30,10,25,31
2,5,134,23,31,24,27,27
2,5,136,16,40,16,30,31
2,5,137,34,24,49,33,28
2,5,138,22,43,23,NA,NA
2,5,139,14,11,21,14,23
2,5,140,33,49,43,18,36
2,5,141,15,34,41,27,16
2,5,142,20,25,14,16,19
2,5,143,25,29,20,25,14
2,5,144,21,25,0,27,40
2,5,145,35,36,25,32,38
2,5,146,40,30,37,42,32
2,5,147,42,36,40,20,37
2,5,148,28,21,26,39,38
2,5,149,48,52,29,42,37
2,5,150,23,14,24,17,16
2,5,151,24,25,22,23,17
2,5,152,33,26,28,20,17
2,5,153,30,29,24,16,22
2,5,154,34,50,25,16,21
2,5,156,12,23,28,23,27
2,5,157,39,28,43,15,50
2,5,158,17,46,31,24,35
2,5,159,17,26,25,21,25
2,5,160,9,31,26,35,36
2,5,161,43,40,14,34,35
2,5,162,22,25,24,22,18
2,5,163,54,38,17,21,27
2,5,164,38,48,16,56,40
2,5,165,17,21,17,25,45
2,5,166,42,40,31,44,34
2,5,167,31,37,31,21,24
2,5,168,16,33,20,27,17
2,5,169,49,60,45,NA,NA
2,5,170,15,23,34,20,33
2,5,171,23,NA,NA,NA,NA
2,5,172,37,30,37,23,30
2,5,173,34,37,31,50,47
2,5,174,1,38,43,49,NA
2,5,175,30,28,35,27,28
2,5,176,21,29,24,21,38
2,5,177,33,30,55,27,33
2,5,178,34,35,43,42,35
2,5,179,45,23,28,33,NA
2,5,180,26,39,30,43,30
2,5,181,24,56,25,27,1
2,5,182,28,20,16,26,20
2,5,183,1,31,36,1,17
2,5,184,50,51,33,42,45
2,5,185,25,37,15,35,24
2,5,186,46,28,35,25,25
2,5,187,17,38,21,30,19
2,5,188,32,14,33,28,39
2,5,189,15,27,28,24,25
2,5,190,37,23,1,26,33
2,5,191,11,27,25,12,21
2,5,192,34,30,26,44,39
2,5,193,34,20,19,34,32
2,5,194,11,19,20,19,15
2,5,195,43,44,50,6,53
2,5,196,21,22,21,32,24
2,5,197,16,16,18,17,22
2,5,198,34,13,18,18,33
2,5,199,20,33,25,26,34
2,5,200,24,19,20,20,12
2,5,201,43,33,41,17,24
2,5,202,25,25,32,40,24
2,5,203,13,22,26,16,22
2,5,204,24,29,40,27,31
2,5,205,18,13,39,23,21
2,5,206,21,27,25,30,27
2,5,207,23,28,25,30,30
2,5,208,45,43,44,42,47
2,5,209,27,37,29,35,32
2,5,210,13,19,21,20,14
2,5,211,28,40,36,30,47
2,5,212,30,30,35,31,26
2,5,213,32,32,38,46,25
2,5,214,45,23,35,16,17
2,5,215,33,37,39,52,NA
2,5,216,15,16,39,38,32
2,5,217,23,45,50,40,22
2,5,218,31,17,23,35,44
2,5,219,12,23,43,19,47
2,5,220,14,38,28,24,26
2,5,221,17,26,9,20,20
2,5,222,29,18,24,30,0
2,5,223,32,28,37,42,47
2,5,224,1,1,34,25,43
2,5,225,11,17,17,22,19
2,5,226,23,41,26,21,1
2,5,227,31,24,1,25,0
2,5,228,25,6,17,39,50
2,5,229,20,32,18,13,23
2,5,230,30,27,31,23,23
