Simulation	MAF_DGRP_incl_mono	MAF_DPGP3_incl_mono	MAF_SA_incl_mono
1	0.262278206886792	0.146230221839623	0.154350534123223
2	0.256858789669811	0.157216403632075	0.150647778672986
3	0.259553336132075	0.157894031132075	0.171742619905213
4	0.237615057924528	0.167398335424528	0.167832390047393
5	0.239988014528302	0.167702652169811	0.169127858293839
6	0.260604788584906	0.156535511886792	0.166961936018957
7	0.236943607311321	0.172275719764151	0.178884527014218
8	0.250426575471698	0.154308053301887	0.175348125592417
9	0.250139950566038	0.178642934056604	0.174319553554502
10	0.246975501415094	0.157818408018868	0.151833296682464
11	0.236194863726415	0.170390846320755	0.154285700473934
12	0.238772240235849	0.173001389528302	0.176568247393365
13	0.245911688584906	0.148674214150943	0.146416836966825
14	0.228099427830189	0.171882252641509	0.160006806161137
15	0.262406658018868	0.163253603584906	0.157554633175355
16	0.245981972877358	0.153029010943396	0.164595611374408
17	0.240188164009434	0.167555268396226	0.167850906161137
18	0.243927429575472	0.169701206084906	0.156146355924171
19	0.243450417169811	0.161036335377358	0.168606815165877
20	0.240793198584906	0.169597406933962	0.174694419905213
21	0.25916598509434	0.171488842877358	0.157657836018957
22	0.246799054056604	0.168679607641509	0.172426261611374
23	0.230912620471698	0.141957717924528	0.145952885308057
24	0.237004233349057	0.156664383349057	0.143607401421801
25	0.24971079754717	0.16424010490566	0.16627620521327
26	0.255462056367925	0.166674477216981	0.156797714218009
27	0.25771755990566	0.18374687490566	0.158717783412322
28	0.248529957688679	0.154005696981132	0.167251739336493
29	0.251540395330189	0.147108223915094	0.142594687203791
30	0.230887448349057	0.149628232783019	0.157247075829384
31	0.228495295330189	0.159435789528302	0.168910267772512
32	0.235205108632075	0.172699756792453	0.167561470616114
33	0.242265829811321	0.152290205754717	0.157280141706161
34	0.244902081745283	0.167004888584906	0.164299966350711
35	0.244904506981132	0.155494319198113	0.178706863981043
36	0.243540343773585	0.157702274245283	0.142305323696682
37	0.273215051132075	0.164501464198113	0.155114506161137
38	0.233950062735849	0.144020067924528	0.168476835545024
39	0.253631054669811	0.171908233160377	0.157661634597156
40	0.250772528867925	0.174724209339623	0.162951035545024
41	0.25279065245283	0.170624704056604	0.158135190047393
42	0.258428248867925	0.159888683584906	0.16907848056872
43	0.252585157358491	0.159359697216981	0.150728195260664
44	0.24831017245283	0.177909579811321	0.163652654028436
45	0.250542273207547	0.144219759386792	0.17739956492891
46	0.241339119198113	0.159909344386792	0.135390439336493
47	0.242224589528302	0.179882124386792	0.174511082938389
48	0.235134494339623	0.150022229150943	0.154133790047393
49	0.26462205490566	0.161320202311321	0.162066333649289
50	0.240887683820755	0.155110021273585	0.169098461611374
51	0.243505139528302	0.17235147995283	0.166762767772512
52	0.237160692264151	0.1575132475	0.1591666492891
53	0.235726623254717	0.160664165707547	0.157449673933649
54	0.258457216132075	0.16251685009434	0.147564354028436
55	0.242208971745283	0.157657730990566	0.156679306635071
56	0.238652949245283	0.147483127358491	0.15981400521327
57	0.243769754009434	0.154324329292453	0.152241127014218
58	0.241125235471698	0.174101806367925	0.164632903791469
59	0.246467120377358	0.173734291650943	0.172922792417062
60	0.237019452075472	0.159392359339623	0.157905336018957
61	0.236942301415094	0.167740011132075	0.153965080094787
62	0.23515797254717	0.172516155660377	0.175458703317536
63	0.230452913537736	0.156135955283019	0.15744351563981
64	0.249351244481132	0.154122832924528	0.153015157345972
65	0.23357296740566	0.146086730990566	0.137541106635071
66	0.233725273726415	0.158210762264151	0.143726078199052
67	0.237762597641509	0.151170451509434	0.145425872985782
68	0.238117915990566	0.155010719245283	0.168253582938389
69	0.248144822311321	0.161696338962264	0.167937981042654
70	0.244952707169811	0.171297777971698	0.154992323222749
71	0.235459270471698	0.148050316084906	0.166224888625592
72	0.243577641886792	0.164223177877358	0.145281161137441
73	0.259486105283019	0.17241540259434	0.170191755450237
74	0.253658097311321	0.149934751839623	0.136921589099526
75	0.249105337028302	0.177277346179245	0.164606451184834
76	0.256203085754717	0.163595062877359	0.14892496492891
77	0.234803495471698	0.151210795849057	0.147709359241706
78	0.236000778301887	0.158419415660377	0.158858228436019
79	0.248133874716981	0.163221137641509	0.157641458767773
80	0.239354271650943	0.181025814858491	0.172121642180095
