MAF	Abs_Effect	Pop	Abs_Effect_quantile
0.10110548	0.09698445	ZI	47
0.16162487	0.09872715	ZI	48
0.08622356	0.10036735	ZI	49
0.18365275	0.10192105	ZI	50
0.129237155	0.10368245	ZI	51
0.20594641	0.1055846	ZI	52
0.170233477	0.1070183	ZI	53
0.144096944	0.10873735	ZI	54
0.184300619	0.11047385	ZI	55
0.117807067	0.1121438	ZI	56
0.17192494	0.11428735	ZI	57
0.129867832	0.11614335	ZI	58
0.20749236	0.11801465	ZI	59
0.110184188	0.11979145	ZI	60
0.138599006	0.1215959	ZI	61
0.1723001805	0.12354195	ZI	62
0.134248935	0.12525005	ZI	63
0.155676165	0.12738945	ZI	64
0.13383097	0.129292	ZI	65
0.18058453	0.13147885	ZI	66
0.139281932	0.1336043	ZI	67
0.146183085	0.1356956	ZI	68
0.173314726	0.13802515	ZI	69
0.18132895	0.1402824	ZI	70
0.185350242	0.14264975	ZI	71
0.10295189	0.14493805	ZI	72
0.133372005	0.14736395	ZI	73
0.163898367	0.14965735	ZI	74
0.079570505	0.1523871	ZI	75
0.150471627	0.1548972	ZI	76
0.13780985	0.157478	ZI	77
0.092492875	0.1604312	ZI	78
0.1444798075	0.163281	ZI	79
0.176513875	0.16622105	ZI	80
0.23020413	0.16938715	ZI	81
0.120715082	0.1728589	ZI	82
0.09624017	0.17595755	ZI	83
0.152363665	0.1791856	ZI	84
0.161244918	0.183323	ZI	85
0.112242037	0.18782295	ZI	86
0.111644067	0.19276305	ZI	87
0.1689864725	0.1978755	ZI	88
0.106279702	0.2035855	ZI	89
0.214073785	0.20860805	ZI	90
0.139438291	0.2152746	ZI	91
0.130074857	0.22230345	ZI	92
0.262271922	0.22935445	ZI	93
0.150873686	0.23766745	ZI	94
0.20267676	0.24727445	ZI	95
0.155909810526316	0.259244789473684	ZI	96
0.195349094736842	0.274698157894737	ZI	97
0.141796047368421	0.290861263157895	ZI	98
0.13686892375	0.3165281875	ZI	99
0.1733495875	0.351740375	ZI	100
0.148163535	0.0039934	SA	1
0.10578929	0.0093718	SA	2
0.153381755	0.01415495	SA	3
0.156281465	0.0171835	SA	4
0.066972845	0.0210054	SA	5
0.082571315	0.02447045	SA	6
0.11011106	0.0269445	SA	7
0.17019275	0.0294226	SA	8
0.09536541	0.03166075	SA	9
0.12099362	0.034017	SA	10
0.1621937	0.03606875	SA	11
0.140737755	0.0381789	SA	12
0.14219637	0.0402543	SA	13
0.15197226	0.04239565	SA	14
0.13840969	0.0445977	SA	15
0.16524009	0.0460917	SA	16
0.14872942	0.048022	SA	17
0.120066945	0.0497537	SA	18
0.17919183	0.05159675	SA	19
0.17630946	0.0531715	SA	20
0.08799069	0.05500675	SA	21
0.125669	0.05679395	SA	22
0.08974598	0.05856095	SA	23
0.221729505	0.06010905	SA	24
0.128707175	0.06191125	SA	25
0.16089282	0.06337735	SA	26
0.14246551	0.06513235	SA	27
0.08245195	0.0669225	SA	28
0.203641355	0.06866665	SA	29
0.17076985	0.0699721	SA	30
0.176939305	0.071466	SA	31
0.125843425	0.0732099	SA	32
0.099509335	0.07465815	SA	33
0.221728695	0.076356	SA	34
0.142302435	0.07765785	SA	35
0.20763303	0.0791824	SA	36
0.15278479	0.08099365	SA	37
0.13419975	0.08233635	SA	38
0.146142315	0.08399005	SA	39
0.1807696	0.08554355	SA	40
0.21071671	0.0873048	SA	41
0.11474828	0.08891325	SA	42
0.21186093	0.09050805	SA	43
0.168824805	0.09209305	SA	44
0.064989615	0.0939152	SA	45
0.114538215	0.09535505	SA	46
0.100282565	0.0970142	SA	47
0.16015647	0.0987293	SA	48
0.125568365	0.1003381	SA	49
0.147336425	0.10206095	SA	50
0.085970405	0.1036678	SA	51
0.17742902	0.1055285	SA	52
0.17277675	0.1069991	SA	53
0.163618825	0.10881035	SA	54
0.217395225	0.1105786	SA	55
0.130024405	0.1122186	SA	56
0.245333595	0.11419585	SA	57
0.203168145	0.11584805	SA	58
0.11270743	0.117964	SA	59
0.14973508	0.1198618	SA	60
