Distance_Bin_Maximum_value	R2
25	0.730577741279509
50	0.650486050194804
75	0.609451825649258
100	0.58198934716103
125	0.560915001659894
150	0.544528662789374
175	0.532314953349645
200	0.521654891834609
225	0.513322676814013
250	0.504969916437812
275	0.499639424815176
300	0.496017242731799
325	0.491693723769892
350	0.485797454226131
375	0.482596771180056
400	0.479375285670471
425	0.47563574136572
450	0.471691532085477
475	0.470148785045374
500	0.469596923043933
525	0.468950775500437
550	0.465724585856255
575	0.465832370370439
600	0.464518631810274
625	0.463758935912696
650	0.46264356576167
675	0.460381944715667
700	0.458091005485521
725	0.460433377214956
750	0.458508167155117
775	0.457543730276001
800	0.461670379279227
825	0.459372517847007
850	0.455668774860537
875	0.456410816816501
900	0.457967595168481
925	0.456512159697178
950	0.457297675683868
975	0.458519981821971
